"","Presence","INDEX","Longitude","Latitude"
"1",1,2444,-176.75,51.75
"2",1,10038,-166.25,68.75
"3",1,10386,-165.75,62.75
"4",1,12531,-162.75,55.25
"5",1,12548,-162.75,63.75
"6",1,13979,-160.75,59.25
"7",1,13980,-160.75,59.75
"8",1,14338,-160.25,58.75
"9",1,14339,-160.25,59.25
"10",1,14348,-160.25,63.75
"11",1,14722,-159.75,70.75
"12",1,15082,-159.25,70.75
"13",1,15784,-158.25,61.75
"14",1,17578,-155.75,58.75
"15",1,18655,-154.25,57.25
"16",1,19375,-153.25,57.25
"17",1,20822,-151.25,60.75
"18",1,21898,-149.75,58.75
"19",1,21903,-149.75,61.25
"20",1,21921,-149.75,70.25
"21",1,21922,-149.75,70.75
"22",1,22981,-148.25,60.25
"23",1,23350,-147.75,64.75
"24",1,23702,-147.25,60.75
"25",1,24070,-146.75,64.75
"26",1,28739,-140.25,59.25
"27",1,31974,-135.75,56.75
"28",1,31977,-135.75,58.25
"29",1,32337,-135.25,58.25
"30",1,32339,-135.25,59.25
"31",1,32691,-134.75,55.25
"32",1,32694,-134.75,56.75
"33",1,32696,-134.75,57.75
"34",1,32698,-134.75,58.75
"35",1,33055,-134.25,57.25
"36",1,33411,-133.75,55.25
"37",1,33414,-133.75,56.75
"38",1,33771,-133.25,55.25
"39",1,34133,-132.75,56.25
"40",1,34491,-132.25,55.25
"41",1,34847,-131.75,53.25
"42",1,34850,-131.75,54.75
"43",1,34852,-131.75,55.75
"44",1,34855,-131.75,57.25
"45",1,35207,-131.25,53.25
"46",1,35210,-131.25,54.75
"47",1,35564,-130.75,51.75
"48",1,35565,-130.75,52.25
"49",1,35924,-130.25,51.75
"50",1,35925,-130.25,52.25
"51",1,36285,-129.75,52.25
"52",1,36645,-129.25,52.25
"53",1,37010,-128.75,54.75
"54",1,38798,-126.25,48.75
"55",1,38799,-126.25,49.25
"56",1,39889,-124.75,54.25
"57",1,40222,-124.25,40.75
"58",1,40223,-124.25,41.25
"59",1,40224,-124.25,41.75
"60",1,40228,-124.25,43.75
"61",1,40598,-123.75,48.75
"62",1,40937,-123.25,38.25
"63",1,41319,-122.75,49.25
"64",1,41656,-122.25,37.75
"65",1,41676,-122.25,47.75
"66",1,42017,-121.75,38.25
"67",1,42756,-120.75,47.75
"68",1,44888,-117.75,33.75
"69",1,63634,-91.75,46.75
"70",1,65796,-88.75,47.75
"71",1,66864,-87.25,41.75
"72",1,66865,-87.25,42.25
"73",1,66869,-87.25,44.25
"74",1,67594,-86.25,46.75
"75",1,68672,-84.75,45.75
"76",1,70113,-82.75,46.25
"77",1,72626,-79.25,42.75
"78",1,75497,-75.25,38.25
"79",1,80190,-68.75,44.75
"80",1,81630,-66.75,44.75
"81",1,119460,-14.25,59.75
"82",1,126656,-4.25,57.75
"83",1,127010,-3.75,54.75
"84",1,128092,-2.25,55.75
"85",1,128095,-2.25,57.25
"86",1,136011,8.75,55.25
"87",1,150800,29.25,69.75
"88",1,251240,168.75,69.75
"89",1,256273,175.75,66.25
"90",1,256988,176.75,63.75
