Source,Type,Target,Weight
Agatha,Undirected,Amelia,1
Agatha,Undirected,Anhalt,2
Agatha,Undirected,Baron,1
Agatha,Undirected,Cottager,3
Agatha,Undirected,Countryman,1
Agatha,Undirected,Farmer,1
Agatha,Undirected,Frederick,3
Agatha,Undirected,Girl,1
Agatha,Undirected,Landlord,1
Agatha,Undirected,Wife,3
Amelia,Undirected,Anhalt,5
Amelia,Undirected,Baron,4
Amelia,Undirected,Butler,2
Amelia,Undirected,Count,2
Amelia,Undirected,Frederick,3
Amelia,Undirected,Gentleman,1
Amelia,Undirected,Servant,1
Anhalt,Undirected,Baron,4
Anhalt,Undirected,Butler,2
Anhalt,Undirected,Cottager,1
Anhalt,Undirected,Count,2
Anhalt,Undirected,Frederick,3
Anhalt,Undirected,Gentleman,1
Anhalt,Undirected,Servant,1
Anhalt,Undirected,Wife,1
Baron,Undirected,Butler,2
Baron,Undirected,Count,3
Baron,Undirected,Frederick,3
Baron,Undirected,Gentleman,1
Baron,Undirected,Servant,1
Butler,Undirected,Count,1
Butler,Undirected,Frederick,1
Cottager,Undirected,Countryman,1
Cottager,Undirected,Farmer,1
Cottager,Undirected,Frederick,2
Cottager,Undirected,Girl,1
Cottager,Undirected,Landlord,1
Cottager,Undirected,Wife,3
Countryman,Undirected,Farmer,1
Countryman,Undirected,Frederick,1
Countryman,Undirected,Girl,1
Countryman,Undirected,Landlord,1
Countryman,Undirected,Wife,1
Count,Undirected,Frederick,2
Count,Undirected,Gentleman,1
Count,Undirected,Servant,1
Farmer,Undirected,Frederick,1
Farmer,Undirected,Girl,1
Farmer,Undirected,Landlord,1
Farmer,Undirected,Wife,1
Frederick,Undirected,Girl,1
Frederick,Undirected,Landlord,1
Frederick,Undirected,Wife,2
Gentleman,Undirected,Servant,1
Girl,Undirected,Landlord,1
Girl,Undirected,Wife,1
Landlord,Undirected,Wife,1
